id;name;imageUrl;price;description;sizes;colors;category
1;Camiseta Clásica Urbana;https://content.pancake.vn/2-2510/s800x800/2025/10/20/a3adfd6c8cbc407db7a7736c512a08e7f2d666e0.jpg;59900;La camiseta perfecta para el día a día con un corte moderno y algodón de alta calidad;S,M,L,XL;Negro,Blanco,Gris;Camisetas
2;Camiseta Diseño Minimalista;https://content.pancake.vn/2-2510/s800x800/2025/10/20/ac691a6807316618e6e408f033646e2c513f2667.jpg;64900;Un diseño sutil para un look elegante y casual. Hecha con materiales reciclados;S,M,L;Arena,Azul Marino,Verde Oliva;Camisetas
3;Polo Premium de Piqué;https://content.pancake.vn/2-2510/s800x800/2025/10/20/db85b12318163c6b57705a5bed4ae0bf83d00107.jpg;89900;Elegancia y comodidad se unen en este polo de tejido piqué transpirable;M,L,XL;Turquesa,Blanco,Negro;Polos
4;Buso con Capucha Hoodie;https://content.pancake.vn/2-2510/s800x800/2025/10/20/dd5a1d41df2f2939ba15fcc6477202c99c78e386.jpg;129900;Calidez y estilo urbano. Interior afelpado para máxima comodidad en días fríos;S,M,L,XL;Terracota,Gris Jaspeado;Busos
5;Buso Cuello Redondo Básico;https://content.pancake.vn/2-2510/s800x800/2025/10/20/a3adfd6c8cbc407db7a7736c512a08e7f2d666e0.jpg;109900;Un esencial en cualquier armario. Versátil cómodo y fácil de combinar;S,M,L;Mostaza,Negro,Azul Acero;Busos
6;Polo Manga Larga;https://content.pancake.vn/2-2510/s800x800/2025/10/20/ac691a6807316618e6e408f033646e2c513f2667.jpg;95900;Perfecto para climas intermedios manteniendo un estilo sofisticado y profesional;S,M,L,XL;Azul Oscuro,Vino Tinto,Gris;Polos
7;Camiseta Gráfica Vintage;https://content.pancake.vn/2-2510/s800x800/2025/10/20/db85b12318163c6b57705a5bed4ae0bf83d00107.jpg;72900;Un toque retro con estampados de alta durabilidad y un ajuste relajado;M,L;Morado,Negro Lavado;Camisetas
8;Camiseta Prueba 1;https://content.pancake.vn/2-2510/s800x800/2025/10/20/db85b12318163c6b57705a5bed4ae0bf83d00107.jpg;29900;Un toque retro con estampados de alta durabilidad y un ajuste relajado;M,L;Morado,Negro Lavado;Camisetas
9;Camiseta Prueba 2;https://content.pancake.vn/2-2510/s800x800/2025/10/20/db85b12318163c6b57705a5bed4ae0bf83d00107.jpg;39900;Un toque retro con estampados de alta durabilidad y un ajuste relajado;M,L;Morado,Negro Lavado;Camisetas
10;Buso Prueba 3;https://content.pancake.vn/2-2510/s800x800/2025/10/20/a3adfd6c8cbc407db7a7736c512a08e7f2d666e0.jpg;59900;Un esencial en cualquier armario. Versátil cómodo y fácil de combinar;S,M,L;Mostaza,Negro,Azul Acero;Busos
